region_id,lat,capacity,electric_bike_surcharge_waiver,legacy_id,has_kiosk,station_type,lon,rental_methods/0,rental_methods/1,station_id,short_name,eightd_has_key_dispenser,name
71,40.79747,24,FALSE,3491,TRUE,classic,-73.93504,CREDITCARD,KEY,3491,7596.1,FALSE,E 118 St & 1 Ave
71,40.8005385,27,FALSE,3492,TRUE,classic,-73.9419949,CREDITCARD,KEY,3492,7625.18,FALSE,E 118 St & Park Ave
71,40.799139,31,FALSE,3493,TRUE,classic,-73.9389152,CREDITCARD,KEY,3493,7611.02,FALSE,E 118 St & 3 Ave
71,40.797911,25,FALSE,3494,TRUE,classic,-73.9423,CREDITCARD,KEY,3494,7599.09,FALSE,E 115 St & Lexington Ave
71,40.7945663,26,FALSE,3495,TRUE,classic,-73.9362541,CREDITCARD,KEY,3495,7540.02,FALSE,E 114 St & 1 Ave
71,40.7923272,25,FALSE,3496,TRUE,classic,-73.9383,CREDITCARD,KEY,3496,7522.02,FALSE,1 Ave & E 110 St
71,40.7949879,23,FALSE,3497,TRUE,classic,-73.9333349,CREDITCARD,KEY,3497,7450.05,FALSE,Pleasant Ave & E 116 St
71,40.7974772,21,FALSE,3498,TRUE,classic,-73.9311847,CREDITCARD,KEY,3498,7579.01,FALSE,Pleasant Ave & E 120 St
71,40.8006721,25,FALSE,3499,TRUE,classic,-73.9349,CREDITCARD,KEY,3499,7622.12,FALSE,2 Ave & E 122 St
71,40.7989445,31,FALSE,3500,TRUE,classic,-73.944846,CREDITCARD,KEY,3500,7599.02,FALSE,E 115 St & Madison Ave
71,40.8014866,29,FALSE,3501,TRUE,classic,-73.9442507,CREDITCARD,KEY,3501,7640.04,FALSE,E 118 St & Madison Ave
71,40.7954121,29,FALSE,3502,TRUE,classic,-73.9441232,CREDITCARD,KEY,3502,7567.06,FALSE,Lexington Ave & E 111 St
71,40.80295,30,FALSE,3503,TRUE,classic,-73.942954,CREDITCARD,KEY,3503,7667.04,FALSE,Madison Ave & E 120 St
71,40.8029263,27,FALSE,3504,TRUE,classic,-73.9379,CREDITCARD,KEY,3504,7636.05,FALSE,E 123 St & Lexington Ave
71,40.805726,33,FALSE,3505,TRUE,classic,-73.936322,CREDITCARD,KEY,3505,7662.13,FALSE,Lexington Ave & E 127 St
71,40.8013066,29,FALSE,3506,TRUE,classic,-73.9398167,CREDITCARD,KEY,3506,7652.04,FALSE,Lexington Ave & E 120 St
71,40.8045555,36,FALSE,3507,TRUE,classic,-73.9396861,CREDITCARD,KEY,3507,7682.01,FALSE,Park Ave & E 124 St
71,40.809725,31,FALSE,3508,TRUE,classic,-73.953149,CREDITCARD,KEY,3508,7723.01,FALSE,St Nicholas Ave & Manhattan Ave
71,40.8011939,31,FALSE,3509,TRUE,classic,-73.9500739,CREDITCARD,KEY,3509,7627.1,FALSE,Lenox Ave & W 115 St
71,40.8078316,31,FALSE,3510,TRUE,classic,-73.949373,CREDITCARD,KEY,3510,7704.04,FALSE,Adam Clayton Powell Blvd & W 123 St
71,40.802535,22,FALSE,3511,TRUE,classic,-73.9532423,CREDITCARD,KEY,3511,7643.18,FALSE,Adam Clayton Powell Blvd & W 115 St
71,40.774645,33,FALSE,3513,TRUE,classic,-73.923706,CREDITCARD,KEY,3513,7126.01,FALSE,21 St & Hoyt Ave S
71,40.7767,33,FALSE,3514,TRUE,classic,-73.927631,CREDITCARD,KEY,3514,7159.08,FALSE,Astoria Park S & Shore Blvd
71,40.774591,19,FALSE,3515,TRUE,classic,-73.918544,CREDITCARD,KEY,3515,7152.1,FALSE,24 Ave & 26 St
71,40.7699176,31,FALSE,3516,TRUE,classic,-73.9184057,CREDITCARD,KEY,3516,6989.07,FALSE,31 St & Astoria Blvd
71,40.7711528,35,FALSE,3517,TRUE,classic,-73.9170074,CREDITCARD,KEY,3517,7018.01,FALSE,31 St & Hoyt Ave N
71,40.808442,34,FALSE,3518,TRUE,classic,-73.9452087,CREDITCARD,KEY,3518,7720.03,FALSE,Lenox Ave & W 126 St
71,40.804372,27,FALSE,3520,TRUE,classic,-73.951475,CREDITCARD,KEY,3520,7670.09,FALSE,Adam Clayton Powell Blvd & W 118 St
71,40.7987859,36,FALSE,3521,TRUE,classic,-73.9523,CREDITCARD,KEY,3521,7602.05,FALSE,Lenox Ave & W 111 St
71,40.7701477,19,FALSE,3522,TRUE,classic,-73.9120938,CREDITCARD,KEY,3522,6981.16,FALSE,37 St & 24 Ave
71,40.7729,45,FALSE,3523,TRUE,classic,-73.916142,CREDITCARD,KEY,3523,7119.04,FALSE,24 Ave & 29 St
71,40.7774552,23,FALSE,3524,TRUE,classic,-73.9225403,CREDITCARD,KEY,3524,7186.15,FALSE,19 St & 24 Ave
71,40.776165,21,FALSE,3525,TRUE,classic,-73.9153175,CREDITCARD,KEY,3525,7178.02,FALSE,23 Ave & 27 St
71,40.7747878,27,FALSE,3526,TRUE,classic,-73.9125551,CREDITCARD,KEY,3526,7144.01,FALSE,31 St & 23 Ave
71,40.80698,27,FALSE,3527,TRUE,classic,-73.941747,CREDITCARD,KEY,3527,7701.19,FALSE,5 Ave & E 126 St
71,40.7713937,21,FALSE,3528,TRUE,classic,-73.9077436,CREDITCARD,KEY,3528,7009.02,FALSE,Steinway St & 23 Ave
71,40.8107922,25,FALSE,3529,TRUE,classic,-73.9430681,CREDITCARD,KEY,3529,7753.13,FALSE,Lenox Ave & W 130 St
71,40.7787185,19,FALSE,3530,TRUE,classic,-73.9145645,CREDITCARD,KEY,3530,7233.05,FALSE,Crescent St & Ditmars Blvd
71,40.8125511,27,FALSE,3531,TRUE,classic,-73.9492286,CREDITCARD,KEY,3531,7795.09,FALSE,Frederick Douglass Blvd & W 129 St
71,40.78145,27,FALSE,3532,TRUE,classic,-73.9183302,CREDITCARD,KEY,3532,7291.06,FALSE,Ditmars Blvd & 19 St
71,40.8114323,34,FALSE,3533,TRUE,classic,-73.9518776,CREDITCARD,KEY,3533,7756.1,FALSE,St. Nicholas Ave & W 126 St
71,40.805159,39,FALSE,3534,TRUE,classic,-73.954692,CREDITCARD,KEY,3534,7688.12,FALSE,Frederick Douglass Blvd & W 117 St
